content,score,sentiment
aplikasi makin g jelas,1,Positive
wondr by bni sangat mudah guna kami mula mengunakan rekening,5,neutral
jaring udah full ttp lambat,3,Positive
alhamdulillah lama guna aplikasi sangat mudah laku transfer uang plz,5,Negative
aplikasi sering gak buka baru mau masuk keluar dan sampai unisntall terus instal tetap aja bisa masuk mohon baik systemnya kasihan sama yg butuh apalagi saat penting malah nge bug,1,Negative
kenapa g pakai bisa cek saldo untuk transaksi tulis tidak ada rekening aktif bagaimana solusi,1,Negative
ok,5,neutral
cukup bantu kontrol saldo,1,Positive
masuk menu ribet verifikasi terus mohon bantu aplikasi guna cepat simpel,1,neutral
sangat bagus juga mudah guna,5,neutral
nice,5,neutral
makin kesini makin susah klo mau buka apk kadang tdk buka sama sekali enk yg dlu meski di laut tpi buka apk ndk bisa sama sekali,3,Positive
wondy bu bni mantap,5,Positive
tidak transfer,5,neutral
transaksi gagal saldo udah kurang gk di ulang gimana kak,3,Negative
uda klik syarat2 verifikasi eh keluar sendiri terang sesi selesai gitu mulu payah,2,neutral
saya transfer uang bca transaksi gagal saldo potong,3,neutral
e wallet nya tambahin dana donk min,4,neutral
,5,neutral
untuk yg ambil dana cardless ad bro,4,neutral
pertama kali buka rekening langsung pake wondr apknya bagus,5,neutral
login aja susah masuk no hp ganti sandi huh hapek,1,Negative
saya bayar pakai qris transaksi hasil uang potong d email uang d kembali d akun tetap kembali gimana,1,Positive
baik lagi terlalu banyak embel nya awal masuk aplikasi dengan kode yg rumit udah brapa kali sala ingat kode mulai 0 lagi,1,Negative
ganti aplikasi bni kok susah pakai sering eror,1,Negative
bagus,5,neutral
cinta,5,neutral
verifikasi email selalu gagal padahal kode otp benar,2,Negative
tolong bni kenapa gagal verifikasi wajah ya tolongdi bantu kok susah saldo gimana,1,Negative
sangat mantap,5,Positive
sangat baik sangat bantu,5,neutral
bismillah baik,3,neutral
sangat mudah urus,4,neutral
mantul,5,neutral
no rek wondr beda dg no rek mobile bangking,1,Negative
bagus jadi lebih mudah laku transaksi,5,Positive
aplikasi wonder bni perlu baik ada uang masuk hari sabtu-ahad gak baca riwayat pasu nti baca riwayat pasu hari senin,1,neutral
sangat bantu nyaman butuh,5,Positive
baik,2,neutral
ok banget wonder,5,Positive
ok,5,neutral
tampil ok kalau tarik tunai kartu di adakan mobile banking,5,neutral
lumayan praktis smp ini,4,Positive
ccad kali apk buat sapa lot poll mending bca mobile sumpah simple gak ribet gak banyak opsi,1,neutral
belum fitur transaksi kartu atm ya,4,Positive
cakep sayang biaya admin kadang tdk muncul blm e-statement tanpa kolom saldo,5,Positive
nice,5,neutral
benar sangat bagus kes lebih legan cuman belum stabil ada bug,5,Positive
baik,5,neutral
jadi ribet susah login tulis tuju klik malah sesi akhir,1,Negative
makin mudah buat bayar apa terimakasih wonder by bni moga amanah layan nasabah baik,5,Positive
bagus alam lebih tarik lebih simpel aja,5,Positive
good,5,neutral
ok,5,neutral
mantap semua butuh layan wondr semua urus jadi lebih mudah,5,Positive
lah kenapa topup ewallet jadi pake limit cuma 1jt doang apk belum mah lebih 5jt,4,neutral
ngebug mulu bisa masuk aplikasi,1,Negative
parah nih wonder toup tapcash ko gak masuk saldo nya,1,Negative
gagal terus verfikasi aplikasi blm siap seperti,1,neutral
makin kesini makin parah untuk layan setor tunai tarik tunai lewat e-banking ga menu nya,2,Positive
sudah hp gak mampu ram minta update lagi kaya taiiii,1,neutral
makin ndg jelas update,1,neutral
hama lea nagayampu tano app lea bisa nubantumo dalam transaksi inti mudah jaya selalu wonder,5,Positive
kok cara aktivasinya beda banget sama yg youtube,3,Positive
bagus,5,neutral
skrg mental terus mau masuk aplikasi nya masak instal unistal terus kali mau d pakai kata pihak bni minta d update tp gada perintah dr playstore auto install unistall terossss,1,Negative
yg baik trima kasih,4,Positive
beberapa kali laku verifikasi wajah gagal terus susah,4,Negative
