content,score,sentiment,sentiment_encoded
sudah registrasi via aplikasi sudah isi semua ujung2 nya video call agen maksud apa ini masih tanya no ktp no telpn lha tadi dah isi nunjukin ktp juga ini agen resmi ga dr bni kl kagak kan ngeri data guna rek minta minta agen bahaya,1,Negative,0
baru donlow aplikasi kmrn hari gagal buka kata developer segera baik bug nya,1,Negative,0
aplikasi bagus banget fitur lengkap good,5,Positive,1
tolong baik bug aplikasi kata gak ribet mau login ribet banget tiba tiba error minta login pakai foto ktp terus pas kirim malah balik minta ktp padahal udah foto tempat terang suruh besok bolak balik login error terus minta otp segala macam kecewa sekali aplikasi tiba tiba error kayak mau daftar ulang coba daftar kirim foto ktp malah bilang bukan e-ktp gak jelas aplikasi,2,Negative,0
aplikasi taik verifikasi wajah selalu susah gak bisa di kata muka main apa kali yak lucu klo buat aplikasi yg bener dong jgn tengah tengah,1,Negative,0
sinyal bagus buat masuk aplikasi wondr lalu loading lama trs tiba2 ingat kalau sesi buka lama ini sering banget banyak guna yang sama keluh kalau masuk aplikasi lama diupdate juga susah,1,Negative,0
aplikasi cacat gabisa login,1,Negative,0
ribet ajg bayar listrik doang download apk lagi udah bener bener m-banking malah ribet in,1,Negative,0
huuuuuu selalu jadi salah sistem,1,Negative,0
parah maksud nya pindah hape hp lama eh mobile banking nya error terus dusuruh install ini aku pikir konek rekening nyata malah bikin rekening baru g hubung sama sekali dgn rekening yg asli bener2 kecewa bukan nya terkkneksi rekeing asli malah bikin rekening virtual parah nya ga konek sm sekali sama yg lama balik hape lama aja brrti sdh datang ke cabang tp g juga,1,Negative,0
tolong segera baik tingkat masih terlalu lot aplikasi sering gagal dan banyak bug,2,Negative,0
gua udah daftar sesion akhir kacau aplikasi nya kalau optimal jangan buat aplikasi dulu,1,Negative,0
mau tf bolak balik masuk ulang krn masa habis pdhl ga 1 menit kan mau tulis terang tf dulu capek jadi,1,Negative,0
lupa password mau ganti malah aplikasi error coba lagi coba baik lengkap dulu aplikasi baru lah nasabah suruh pakai,2,Negative,0
sangat puas,5,Positive,1
aplikasi fiturnya lengkap cepat banget sistem good,5,Positive,1
kayak mana aplikasi ini daftar malah buka lagi terus kayak mana itu kalau gak bisa di pakai lagi biar di hapus aplikasi,3,Negative,0
halo bisa login umur penuh syarat padahal umur saya sudah penuh syarat baik,1,Negative,0
banyak bug baru klik aplikasi terus terima syarat itu sesi akhir 5 kali lebih bug lain tidak sengaja keluar aplikasi lalu ke aplikasi langsung tulis sesi akhir terlalu ribet tidak se fleksibel belum,1,Negative,0
susah kalai masuk verifikasi wajah gagal mulu ribett bangett beda bca bank lain,1,Negative,0
udah daftar udah masuk pas mau buka aplikasi malah suruh daftar terus terus gabisa login,1,Negative,0
notification telat 3 6 jam,1,Negative,0
gedeg banget asli sama aplikasi nya kenapa klo mau login nya ga kya bni banking aja sih susah banget tau ga mau login nya sering lupa terus kalo udah lama ga buka apk nya pas mau login padahal yakin bener kata nya selalu aja salah klo udah 3 kali suruh verifikasi baru ini udah 4 kali gedeg jadi nya saya mau unfoll aja deh apk nya mau pakai bni banking aja tapi klo tu apk nya sama eror nya henti aja pake atm bni,1,Negative,0
tolong dong histori tanggal 9 ga muncul terahir malah tgl 7 doang apa ga real time yaa histori pasu keluar kalo saya screnshot layar udah tak kasih bukti,1,Negative,0
good,5,Positive,1
